File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Androidd\se\GGiniGGini\app\src\main\java\com\example\gginiggini\Activity\Comment.java,230,181,157,5,24,3,25,72,0,0
C:\Androidd\se\GGiniGGini\app\src\main\java\com\example\gginiggini\Activity\Complain.java,185,155,130,6,18,3,12,41,0,0
C:\Androidd\se\GGiniGGini\app\src\main\java\com\example\gginiggini\Activity\ComplainRead.java,185,156,131,6,21,2,8,22,0,0
C:\Androidd\se\GGiniGGini\app\src\main\java\com\example\gginiggini\Activity\ComplainWrite.java,98,79,64,3,14,0,5,16,0,0
C:\Androidd\se\GGiniGGini\app\src\main\java\com\example\gginiggini\Activity\Home.java,320,259,216,9,26,1,35,139,0,0
C:\Androidd\se\GGiniGGini\app\src\main\java\com\example\gginiggini\Activity\Login.java,151,127,102,4,9,0,15,71,0,0
C:\Androidd\se\GGiniGGini\app\src\main\java\com\example\gginiggini\Activity\MyFavorites.java,165,141,121,6,21,3,3,11,0,0
C:\Androidd\se\GGiniGGini\app\src\main\java\com\example\gginiggini\Activity\Notice.java,155,131,112,5,22,3,2,9,0,0
C:\Androidd\se\GGiniGGini\app\src\main\java\com\example\gginiggini\Activity\NoticeRead.java,53,44,33,3,9,0,0,0,0,0
C:\Androidd\se\GGiniGGini\app\src\main\java\com\example\gginiggini\Activity\Ranking.java,86,68,51,3,15,0,3,9,0,0
C:\Androidd\se\GGiniGGini\app\src\main\java\com\example\gginiggini\Activity\SearchResult.java,83,70,58,4,11,0,2,0,0,0
C:\Androidd\se\GGiniGGini\app\src\main\java\com\example\gginiggini\Activity\StarPopUp.java,96,84,72,0,8,0,4,17,0,0
C:\Androidd\se\GGiniGGini\app\src\main\java\com\example\gginiggini\Activity\Weekly_Domi.java,99,80,63,3,16,0,3,9,0,0
C:\Androidd\se\GGiniGGini\app\src\main\java\com\example\gginiggini\Activity\Weekly_Gru.java,92,73,56,3,16,0,3,9,0,0
C:\Androidd\se\GGiniGGini\app\src\main\java\com\example\gginiggini\Activity\Weekly_Sangrok.java,92,73,56,3,16,0,3,9,0,0
C:\Androidd\se\GGiniGGini\app\src\main\java\com\example\gginiggini\Activity\Weekly_Staff.java,92,73,56,3,16,0,3,9,0,0
C:\Androidd\se\GGiniGGini\app\src\main\java\com\example\gginiggini\Adapter\CommentAdapter.java,67,44,39,2,16,1,7,45,0,0
C:\Androidd\se\GGiniGGini\app\src\main\java\com\example\gginiggini\Adapter\ComplainAdapter.java,66,44,39,2,15,1,7,45,0,0
C:\Androidd\se\GGiniGGini\app\src\main\java\com\example\gginiggini\Adapter\Home_PageAdapter.java,73,60,47,7,7,0,6,11,0,0
C:\Androidd\se\GGiniGGini\app\src\main\java\com\example\gginiggini\Adapter\MyFavoritesAdapter.java,115,102,86,2,12,0,1,3,0,0
C:\Androidd\se\GGiniGGini\app\src\main\java\com\example\gginiggini\Adapter\NavAdapter.java,76,50,38,5,16,0,10,66,0,0
