Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,51,6228,5107,4174,257,766,62,355,1213,0,0
C:\Androidd\se\GGiniGGini\app\src\main,51,6228,5107,4174,257,766,62,355,1213,0,0
C:\Androidd\se\GGiniGGini\app\src\main\java,51,6228,5107,4174,257,766,62,355,1213,0,0
C:\Androidd\se\GGiniGGini\app\src\main\java\com,51,6228,5107,4174,257,766,62,355,1213,0,0
C:\Androidd\se\GGiniGGini\app\src\main\java\com\example,51,6228,5107,4174,257,766,62,355,1213,0,0
C:\Androidd\se\GGiniGGini\app\src\main\java\com\example\gginiggini,51,6228,5107,4174,257,766,62,355,1213,0,0
C:\Androidd\se\GGiniGGini\app\src\main\java\com\example\gginiggini\Activity,16,2182,1794,1478,66,262,15,126,443,0,0
C:\Androidd\se\GGiniGGini\app\src\main\java\com\example\gginiggini\Adapter,9,744,593,487,37,109,2,42,200,0,0
C:\Androidd\se\GGiniGGini\app\src\main\java\com\example\gginiggini\Class,8,295,194,155,12,70,0,31,110,0,0
C:\Androidd\se\GGiniGGini\app\src\main\java\com\example\gginiggini\Fragment,13,2716,2319,1907,115,257,45,140,415,0,0
C:\Androidd\se\GGiniGGini\app\src\main\java\com\example\gginiggini\Item,5,291,207,147,27,68,0,16,45,0,0
