Word,Count
*,81
,40
on,37
=,31
catch,30
TODO,29
Auto-generated,29
by,28
block,28
이용준,27
Created,27
for,23
recyclerAdapter1.notifyDataSetChanged();,23
JSONObject,22
추출,20
JSONArray,19
생성,19
to,16
new,16
get,14
2016-11-01,13
{,13
with,13
item,12
info,10
the,10
from,10
add,9
},9
data,9
when,9
drawer,8
navigation,8
TabSelectedListner,6
complain,6
adapter,6
tab,6
intent,5
Set,5
button,5
click,5
and,5
login,5
making,5
userInfo,5
Creating,5
public,4
run(),4
import,4
reference,4
void,4
list,4
id,4
show,4
date,4
Weekly_PageAdapter,4
property,4
set,4
return,4
2016-11-24,3
pwd,3
obtain,3
eclass,3
layout,3
about,3
\RecyclerAdapter(userID,\,3
method,3
fragment,3
&,3
is,3
recyclerAdapter,3
handler,3
\userName,\,3
2016-11-26,3
move,3
position,3
constructor,3
\getActivity(),\,3
comment,3
associated,3
class,3
image,3
2016-11-29,3
R.layout.maintab_cafe1);,3
\items,\,3
each,3
inflate,3
back,3
used,3
selcet,3
rental,2
save,2
doJSONParser(SPresult);,2
sangrokTodaySP.executeClient();,2
stringDate=doDayOfWeek(nWeek);,2
This,2
Adapter,2
this,2
userName;,2
cal,2
page,2
->,2
rendering,2
content,2
username,2
e.printStackTrace();,2
String[1];,2
today's,2
Pattern,2
event,2
Runnable(),2
toast,2
search,2
send,2
we,2
fail,2
nWeek,2
\constructor,\,2
final,2
\jsonParam.put("\wFlag"\,\,2
\"\weekly/listApp"\);\,2
attributes,2
called,2
ArrayAdapter,2
\"\상록원"\);\,2
activity,2
sangrokTodaySP,2
jsonParam,2
creation,2
String,2
setting,2
Thread(),2
Drawable,2
Holder,2
JSONObject();,2
(JSONException,2
Calendar.getInstance();,2
xml,2
widget,2
try,2
\SendPost(jsonParam,\,2
handler.post(new,2
url,2
});,2
stringDate);,2
prevent,2
//,2
this.userName,2
Thread.interrupted();,2
i,2
call,2
Home_PageAdapter,2
custom,2
displaying,2
SPresult[],2
link,2
cal.get(Calendar.DAY_OF_WEEK);,2
SPresult[0],2
e),2
overload,2
define,2
\jsonParam.put("\cafeName"\,\,2
userName,2
recyclerAdapter.notifyDataSetChanged();,2
Handler();,2
price,2
are,2
}.start();,2
param,2
XML,2
Class,2
(ImageView),2
inflater,2
2016-11-21,1
parsing,1
*method,1
connection,1
4th,1
success,1
\"\call~~~~~~~~~~~~~~"\);\,1
dataset,1
today,1
com.example.gginiggini.Fragment.TodayMenu_Staff;,1
jsoup,1
failed,1
added,1
readepage,1
access,1
com.example.gginiggini.Fragment.MainTab_Cafe1;,1
student,1
reading,1
convertview,1
Obtain,1
6th,1
heart_fill.getDrawable();,1
\끝내주는군요!!"\);\,1
Item_Comment();,1
userName);,1
bundle,1
2016-01-13,1
database,1
items_commentList.add(itemarray[i]);,1
cafeName,1
7th,1
<,1
ArrayList,1
\write,\,1
\itemarray[i].setLikeCount("\134"\);\,1
8th,1
json,1
\id,\,1
cancel,1
com.example.gginiggini.Fragment.TodayMenu_Domi;,1
\Log.w("\onDraw"\,\,1
methods,1
judgeImg,1
complainAdapter,1
bundle=home.getIntent().getExtras();,1
serverconnection,1
reflect,1
(int,1
leftArrow,1
\read,\,1
tday's,1
\^^"\+menuName+cafeName,\,1
\itemarray[i].setContent("\맛이\,1
findViewById(R.id.rightarrow);,1
Item_Comment[],1
context.getResources().getDrawable(R.drawable.he,1
2nd,1
going,1
score,1
exit,1
2016-11-05,1
clicked,1
Toast.LENGTH_LONG).show();,1
2016-10-15,1
itemarray[i],1
tomorrow,1
\Toast.makeText(Comment.this,userName+"\님\,1
pressed,1
rightArrow,1
0;,1
tempRes,1
my,1
user,1
checked,1
before,1
Item_Comment[10];,1
progressdialog,1
\this,make\,1
);,1
mport,1
listview,1
app,1
10;,1
View,1
super.onBackPressed();,1
writepage,1
notice,1
read,1
i++),1
view,1
menu,1
환영합니다,1
toString,1
\setter,\,1
server,1
setted,1
pw,1
5th,1
\"\item_complain"\\,1
3rd,1
enroll,1
\itemarray[i].setUid("\이용준"\);\,1
MainView,1
itemarray,1
complainlist,1
favorites,1
1st,1
check,1
interval,1
\bundle.get("\USERNAME"\).toString();\,1
noticeAdapter.notifyDataSetChanged();,1
com.example.gginiggini.Fragment.TodayMenu_Gru;,1
which,1
\object,\,1
findViewById(R.id.leftarrow);,1
stub,1
userID);,1
\bundle.get("\CAFENAME"\).toString();\,1
jh,1
\intent.putExtra("\USERNAME"\,\,1
Circle,1
double,1
Function,1
\getter,\,1
second,1
ComplainAdapter();,1
tap,1
2016-11-30,1
auto_login,1
creating,1
use,1
connect,1
print,1
toolbar,1
equal,1
that,1
number,1
\intent.putExtra("\USERID"\,\,1
enrollment,1
first,1
color,1
